Cell_type	Gene_symbol	Gene_chr	Gene_TSS	Gene_Case_pct	GGene_Control_pct	ene_sc_Log2FC	Gene_sc_p_val_adj	Gene_bulk_Log2FC	Gene_bulk_pval	Peak_chr	Peak_start	Peak_end	Peak_sc_log2FC	Peak_sc_p_val_adj	Peak_bulk_Log2FC	Peak_bulk_pval	ATAC_RNA_Bayesian_prob	TFs
CD4 Naive	PPP1R2	3	195543325	0.394000	0.530000	-0.141011	4.33418E-72	-0.649546	5.18437E-09	3	195608707	195609207	-1.055163	9.00062E-05	-1.456343	0.00298477	0.999986	ZNF148(0.98), PURA(0.94), 
CD4 Naive	PPP1R2	3	195543325	0.394000	0.530000	-0.141011	4.33418E-72	-0.649546	5.18437E-09	3	195895411	195895911	-1.134598	0.0157191	-2.153879	0.00213223	0.998072	KLF6(1.00), ZNF148(1.00), KLF16(1.00), SP1(1.00), SP4(0.99), KLF4(0.99), TCF12(0.97), PURA(0.97), PATZ1(0.94), TFAP4(0.93), SP2(0.93), ZBTB7A(0.92), KLF7(0.83), 
CD4 Naive	PTPRC	1	198638967	0.870000	0.851000	-0.134817	9.23947E-39	-0.688132	0.000284484	1	198556838	198557338	-1.131075	2.58885E-05	-1.281538	0.0446926	0.981791	ZNF148(1.00), PURA(1.00), KLF1(0.99), ZNF281(0.98), ETS2(0.97), KLF2(0.90), BCL6(0.89), 
CD4 Naive	PTPRC	1	198638967	0.870000	0.851000	-0.134817	9.23947E-39	-0.688132	0.000284484	1	198669020	198669520	1.100142	0.0105377	1.102259	0.00361455	0.991607	SNAI1(0.98), TCF12(0.81), 
CD4 Naive	RBBP4	1	32651207	0.136000	0.225000	-0.104790	4.14131E-69	-0.867890	8.67496E-07	1	32256504	32257004	2.254501	0.0287745	2.298107	0.000992048	0.975847	
CD4 Naive	RBBP4	1	32651207	0.136000	0.225000	-0.104790	4.14131E-69	-0.867890	8.67496E-07	1	32964696	32965196	-0.534762	0.00242141	-0.719718	0.00874745	0.970977	KLF6(0.97), ZBTB7A(0.97), EGR1(0.94), KLF5(0.92), KLF4(0.92), KLF1(0.86), SP6(0.86), ZNF219(0.83), 
CD4 Naive	SAMHD1	20	36951708	0.345000	0.477000	-0.170648	3.15394E-87	-0.470749	0.000875521	20	36576239	36576739	2.307854	0.0193066	1.591081	0.0142832	0.975395	PURA(0.99), SP1(0.98), KLF1(0.98), SP2(0.97), ZNF148(0.95), KLF4(0.95), ZBTB7A(0.86), PATZ1(0.85), 
CD4 Naive	SAMHD1	20	36951708	0.345000	0.477000	-0.170648	3.15394E-87	-0.470749	0.000875521	20	36582238	36582738	1.228618	1.56866E-08	1.336136	0.00526739	0.998486	SNAI1(1.00), IRF2(1.00), TCF12(1.00), SP1(0.99), CTCF(0.98), PATZ1(0.97), ZNF219(0.95), GLI3(0.88), 
CD4 Naive	SAMHD1	20	36951708	0.345000	0.477000	-0.170648	3.15394E-87	-0.470749	0.000875521	20	37345762	37346262	-0.544018	0.0288356	-1.495117	0.0260595	0.986562	SP4(1.00), SMAD2(1.00), SP1(1.00), SP2(1.00), ZNF148(0.99), KLF16(0.99), PURA(0.98), ZBTB7A(0.98), PATZ1(0.97), KLF1(0.96), KLF6(0.95), ELF1(0.93), KLF4(0.87), KLF15(0.82), 
CD4 Naive	SAMHD1	20	36951708	0.345000	0.477000	-0.170648	3.15394E-87	-0.470749	0.000875521	20	37381909	37382409	-0.454804	0.0467828	-0.678578	0.0481567	0.971337	
CD4 Naive	SBNO2	19	1174268	0.133000	0.046000	0.147403	6.79142E-177	1.751296	7.91769E-13	19	1031354	1031854	-2.346219	0.00786441	-1.970919	0.00453443	0.990201	SMAD2(0.97), SP1(0.94), KLF4(0.91), KLF2(0.84), CTCFL(0.82), 
CD4 Naive	SBNO2	19	1174268	0.133000	0.046000	0.147403	6.79142E-177	1.751296	7.91769E-13	19	1071695	1072195	1.668316	0.00123714	1.428476	0.0102195	0.993734	SP1(0.97), TCF12(0.85), 
CD4 Naive	SBNO2	19	1174268	0.133000	0.046000	0.147403	6.79142E-177	1.751296	7.91769E-13	19	1155646	1156146	-1.344266	0.000173534	-1.412234	0.00230632	0.99711	KLF16(1.00), KLF4(0.94), SP1(0.91), TCF12(0.84), SP2(0.81), 
CD4 Naive	SBNO2	19	1174268	0.133000	0.046000	0.147403	6.79142E-177	1.751296	7.91769E-13	19	1214393	1214893	-1.035727	0.00231713	-1.341486	0.0301282	0.958569	KLF4(0.94), KLF1(0.93), SP1(0.91), KLF5(0.89), KLF16(0.82), 
CD4 Naive	SERINC5	5	80256048	0.220000	0.316000	-0.111786	8.5815E-57	-0.509638	5.81772E-05	5	80141071	80141571	1.446709	0.0015541	2.530450	0.00140051	0.998623	TCF12(1.00), SMAD2(1.00), TFAP4(0.99), 
CD4 Naive	SLC25A45	11	65383701	0.126000	0.217000	-0.110751	2.60465E-75	-0.941455	1.33121E-07	11	65468790	65469290	-0.477869	0.0101831	-0.526174	0.0232028	0.958217	KLF11(0.93), SNAI1(0.91), KLF2(0.85), 
CD4 Naive	SLC38A2	12	46372773	0.314000	0.246000	0.186633	2.70828E-55	0.666292	0.0155385	12	46182907	46183407	-0.710379	0.000163372	-0.695369	0.0188837	0.987177	
CD4 Naive	SOCS1	16	11256182	0.346000	0.157000	0.395823	0	1.818128	8.24213E-07	16	10877330	10877830	-1.051972	0.019799	-0.827872	0.00129228	0.999032	
CD4 Naive	SRGN	10	69087602	0.728000	0.417000	0.368219	0	0.778549	0.000652681	10	69313059	69313559	-0.577512	0.00807509	-0.748918	0.030191	0.985406	KLF6(0.91), RELB(0.83), 
CD4 Naive	SRP9	1	225777812	0.309000	0.433000	-0.115099	6.44595E-64	-0.826517	5.91312E-05	1	225444846	225445346	-0.752893	2.07233E-09	-0.704817	1.97129E-05	0.987311	NFE2(0.98), ETS2(0.91), SP2(0.87), 
CD4 Naive	SRSF5	14	69767141	0.872000	0.891000	-0.135526	1.74062E-62	-0.784973	0.000329618	14	69615471	69615971	0.949988	0.040392	1.574257	0.000148351	0.954983	NFE2(0.86), 
CD4 Naive	STMN3	20	63653610	0.175000	0.335000	-0.212335	2.38299E-176	-1.161148	1.58381E-06	20	63471956	63472456	-0.576636	0.0014457	-0.704181	0.00523721	0.952915	KLF16(0.99), EGR1(0.99), RELB(0.94), KLF11(0.86), 
CD4 Naive	TCF7	5	134114680	0.622000	0.756000	-0.157090	7.33033E-60	-0.523038	0.000538442	5	134127895	134128395	-0.794559	0.000204249	-1.967384	0.00265879	0.999771	ZNF148(1.00), SP1(1.00), PURA(1.00), SP2(0.93), KLF5(0.88), 
CD4 Naive	TGOLN2	2	85327989	0.246000	0.350000	-0.104208	5.35711E-58	-0.639838	7.08935E-06	2	85298694	85299194	-0.433988	0.0173752	-0.498672	0.0355812	0.999382	PURA(0.88), 
CD4 Naive	TGOLN2	2	85327989	0.246000	0.350000	-0.104208	5.35711E-58	-0.639838	7.08935E-06	2	85391171	85391671	-0.786435	0.000335611	-0.710210	0.0393383	0.967311	PURA(0.81), 
CD4 Naive	TMEM63A	1	225882380	0.097000	0.182000	-0.106824	1.48696E-77	-1.278784	4.46752E-06	1	225444846	225445346	-0.752893	2.07233E-09	-0.704817	1.97129E-05	0.999955	NFE2(0.98), ETS2(0.91), SP2(0.87), 
CD4 Naive	TMEM63A	1	225882380	0.097000	0.182000	-0.106824	1.48696E-77	-1.278784	4.46752E-06	1	225847990	225848490	-0.727319	0.0215486	-1.207861	0.0418722	0.98365	TCF12(1.00), STAT6(0.96), 
CD4 Naive	TMPO	12	98515572	0.160000	0.265000	-0.106537	7.15239E-79	-0.954183	2.03531E-10	12	98592773	98593273	-4.094623	0.000348762	-2.374559	0.000494549	0.989754	KLF4(1.00), KLF11(0.98), SP1(0.94), SP4(0.92), KLF5(0.90), PURA(0.89), SP2(0.87), 
CD4 Naive	TNFAIP8	5	119268758	0.359000	0.531000	-0.183129	7.65519E-122	-0.970328	7.52678E-07	5	119354235	119354735	0.721291	2.87968E-05	0.764141	0.0107159	0.964913	NFE2(0.95), SMAD2(0.92), 
CD4 Naive	TNFAIP8	5	119268758	0.359000	0.531000	-0.183129	7.65519E-122	-0.970328	7.52678E-07	5	119369449	119369949	0.636376	0.00544378	0.735075	0.0330785	0.999263	SMAD2(1.00), STAT6(1.00), 
CD4 Naive	TRABD2A	2	84881084	0.314000	0.459000	-0.171840	3.84166E-105	-0.706943	9.98328E-06	2	85298694	85299194	-0.433988	0.0173752	-0.498672	0.0355812	0.991954	PURA(0.88), 
CD4 Naive	TRAF3IP3	1	209756052	0.431000	0.637000	-0.261655	2.29956E-187	-1.544574	2.04332E-07	1	209768344	209768844	-0.336803	0.0142174	-0.591620	0.00163805	0.996151	
CD4 Naive	TTC14	3	180602162	0.219000	0.348000	-0.159305	1.16681E-103	-0.879410	1.76559E-08	3	180913181	180913681	-1.493428	1.76673E-06	-1.674506	1.07982E-05	0.99924	SP4(0.99), IRF2(0.99), 
CD4 Naive	TUBB4B	9	137241286	0.361000	0.099000	0.586928	0	2.000526	7.02912E-09	9	137612088	137612588	-0.398657	0.0369597	-0.674249	0.0266477	0.999994	KLF16(0.90), ETS2(0.83), 
CD4 Naive	UBB	17	16380792	0.883000	0.742000	0.439679	0	0.903975	5.7533E-06	17	15957217	15957717	2.643791	0.0351106	1.737274	0.017791	0.99256	SNAI1(1.00), NFE2(0.94), 
CD4 Naive	UCP2	11	73982844	0.324000	0.515000	-0.262470	7.75344E-184	-0.964365	1.37716E-05	11	73633949	73634449	-0.784496	5.89388E-07	-0.792314	2.91255E-05	0.983232	SP1(0.99), ETS2(0.98), NFE2(0.91), SP2(0.89), 
CD4 Naive	UCP2	11	73982844	0.324000	0.515000	-0.262470	7.75344E-184	-0.964365	1.37716E-05	11	74011114	74011614	-1.377865	4.67781E-09	-1.350059	5.03606E-05	0.988385	ZNF148(0.99), SP1(0.99), KLF4(0.99), PURA(0.98), SP4(0.98), KLF16(0.98), KLF1(0.97), SP2(0.89), RELB(0.88), KLF2(0.88), RELA(0.88), PATZ1(0.82), 
CD4 TCM	ACAP1	17	7336528	0.548000	0.691000	-0.189564	2.73771E-89	-0.307332	0.00473177	17	6862682	6863182	-0.501886	0.0147369	-0.600968	0.0006986	0.99827	ZNF148(1.00), PURA(1.00), ZNF281(0.99), SP1(0.98), 
CD4 TCM	ACAP1	17	7336528	0.548000	0.691000	-0.189564	2.73771E-89	-0.307332	0.00473177	17	7441210	7441710	-0.247368	0.0113859	-0.254544	0.0366214	0.999379	ZBTB7A(0.98), PLAG1(0.84), 
CD4 TCM	ACTR3	2	113889933	0.330000	0.469000	-0.173440	1.59022E-93	-0.564657	0.00509593	2	113895151	113895651	1.777721	0.00237653	1.676355	0.00227652	0.998971	
CD4 TCM	APBB1IP	10	26438340	0.205000	0.309000	-0.112228	1.52887E-66	-0.699438	1.96294E-05	10	26937276	26937776	-1.320197	0.00538302	-1.492031	0.0188389	0.997845	SP1(1.00), KLF2(1.00), 
CD4 TCM	AQP3	9	33447593	0.371000	0.469000	-0.119002	1.6197E-39	-0.538954	0.000740526	9	33024910	33025410	0.827351	3.29819E-06	0.721148	0.00322872	0.996161	KLF6(1.00), EGR1(0.96), ZNF219(0.96), SP3(0.83), E2F6(0.82), 
CD4 TCM	AREG	4	74445135	0.144000	0.091000	0.119980	8.3418E-40	2.500595	0.0017112	4	74444823	74445323	-0.630867	0.000254824	-0.523608	0.00577193	0.992035	KLF6(1.00), SP1(0.99), PATZ1(0.96), SP4(0.94), SP6(0.86), 
CD4 TCM	ARHGAP30	1	161069891	0.182000	0.296000	-0.138046	2.29749E-88	-0.681400	0.00048923	1	160623106	160623606	0.610773	0.00767446	0.774228	0.0044983	0.993454	KLF3(0.97), 
CD4 TCM	ARHGAP30	1	161069891	0.182000	0.296000	-0.138046	2.29749E-88	-0.681400	0.00048923	1	160626031	160626531	1.239029	0.0343173	1.504216	0.0292519	0.987574	
CD4 TCM	ARHGAP30	1	161069891	0.182000	0.296000	-0.138046	2.29749E-88	-0.681400	0.00048923	1	160640271	160640771	1.557980	2.35891E-09	1.686485	0.000699712	1	
CD4 TCM	ARHGAP30	1	161069891	0.182000	0.296000	-0.138046	2.29749E-88	-0.681400	0.00048923	1	160641325	160641825	1.345545	0.000210328	1.381323	0.0164468	0.961595	KLF3(0.99), ZNF281(0.91), SP2(0.85), SP1(0.83), 
CD4 TCM	ARHGAP30	1	161069891	0.182000	0.296000	-0.138046	2.29749E-88	-0.681400	0.00048923	1	160768241	160768741	-0.577285	0.0491618	-0.493763	0.0205466	0.971363	
CD4 TCM	ARHGAP30	1	161069891	0.182000	0.296000	-0.138046	2.29749E-88	-0.681400	0.00048923	1	160795257	160795757	1.283337	0.0427731	0.593143	0.0333895	0.995868	PLAGL1(1.00), 
CD4 TCM	ARHGAP30	1	161069891	0.182000	0.296000	-0.138046	2.29749E-88	-0.681400	0.00048923	1	161066687	161067187	1.488026	0.0170266	1.372482	4.58245E-05	0.999998	ZNF148(0.96), 
CD4 TCM	ARHGAP30	1	161069891	0.182000	0.296000	-0.138046	2.29749E-88	-0.681400	0.00048923	1	161117303	161117803	0.569798	0.0367217	0.564767	0.0106078	0.999969	SP3(0.95), KLF16(0.90), 
CD4 TCM	ARHGAP30	1	161069891	0.182000	0.296000	-0.138046	2.29749E-88	-0.681400	0.00048923	1	161306072	161306572	-0.385517	0.0098032	-0.462741	0.00415695	0.960858	PLAG1(1.00), PATZ1(0.99), EGR1(0.99), KLF6(0.93), ZNF148(0.92), ZBTB7A(0.90), 
CD4 TCM	ARHGAP30	1	161069891	0.182000	0.296000	-0.138046	2.29749E-88	-0.681400	0.00048923	1	161399085	161399585	-0.377909	0.00618692	-0.325658	0.0118352	0.990919	
CD4 TCM	ARHGAP30	1	161069891	0.182000	0.296000	-0.138046	2.29749E-88	-0.681400	0.00048923	1	161541927	161542427	-0.860392	0.000403377	-1.023776	0.00706047	0.997439	SP1(0.97), ZNF281(0.93), SP3(0.84), 
CD4 TCM	ARID5A	2	96536751	0.311000	0.217000	0.203919	5.04402E-83	1.152270	0.000195828	2	96396521	96397021	-1.849574	3.25754E-05	-0.793102	0.000113904	0.998126	ARNT2(0.99), SP3(0.95), KLF3(0.89), KLF16(0.85), 
CD4 TCM	ARID5A	2	96536751	0.311000	0.217000	0.203919	5.04402E-83	1.152270	0.000195828	2	96552750	96553250	-1.266634	1.73432E-05	-1.605335	0.00135896	0.984478	SP3(0.99), KLF3(0.96), SP1(0.90), 
CD4 TCM	ARPC5	1	183635783	0.308000	0.495000	-0.234441	2.06908E-171	-1.081467	6.36288E-06	1	183888111	183888611	-1.795510	2.04626E-06	-1.178718	0.0482065	0.999334	E2F6(0.85), 
CD4 TCM	ARRDC3	5	91383317	0.137000	0.220000	-0.105754	3.96578E-59	-0.663431	0.000286475	5	91126845	91127345	-0.334799	0.00228865	-0.366628	0.00274124	0.984801	
CD4 TCM	ARRDC3	5	91383317	0.137000	0.220000	-0.105754	3.96578E-59	-0.663431	0.000286475	5	91397774	91398274	-0.313630	0.00209798	-0.299790	0.0254077	0.994886	KLF6(0.99), 
CD4 TCM	ATF4	22	39520558	0.331000	0.276000	0.140638	1.43313E-30	0.624291	9.99754E-08	22	39242293	39242793	-1.587938	0.00615867	-0.939942	0.0209317	0.992156	SP1(0.98), KLF6(0.98), 
CD4 TCM	ATF4	22	39520558	0.331000	0.276000	0.140638	1.43313E-30	0.624291	9.99754E-08	22	39248917	39249417	-0.537159	0.00493599	-0.544995	0.00826448	0.997728	ARNT2(1.00), 
CD4 TCM	ATF4	22	39520558	0.331000	0.276000	0.140638	1.43313E-30	0.624291	9.99754E-08	22	39266323	39266823	-1.462808	0.00506562	-1.806540	0.00398422	0.986653	EGR1(0.99), SP1(0.99), PLAG1(0.96), KLF16(0.95), KLF3(0.93), SP4(0.93), ZNF740(0.80), 
CD4 TCM	ATF4	22	39520558	0.331000	0.276000	0.140638	1.43313E-30	0.624291	9.99754E-08	22	39320108	39320608	-0.446492	0.00182911	-0.583856	0.00744513	1	SP6(1.00), ARNT2(0.96), 
CD4 TCM	ATF4	22	39520558	0.331000	0.276000	0.140638	1.43313E-30	0.624291	9.99754E-08	22	39472547	39473047	0.756026	0.0054271	0.773802	0.00719348	0.999712	SP1(0.95), KLF3(0.93), PLAG1(0.89), ZNF740(0.87), 
CD4 TCM	ATF4	22	39520558	0.331000	0.276000	0.140638	1.43313E-30	0.624291	9.99754E-08	22	39478451	39478951	1.029795	4.76636E-18	0.686858	0.0138856	0.999921	PATZ1(0.94), PURA(0.85), 
CD4 TCM	ATF4	22	39520558	0.331000	0.276000	0.140638	1.43313E-30	0.624291	9.99754E-08	22	39480019	39480519	1.378197	5.42031E-11	1.253778	0.00132021	0.999999	PURA(0.96), SP3(0.89), KLF16(0.88), 
CD4 TCM	ATF4	22	39520558	0.331000	0.276000	0.140638	1.43313E-30	0.624291	9.99754E-08	22	39481291	39481791	1.456718	1.00772E-17	1.164785	0.00725117	0.999928	ZNF350(1.00), 
CD4 TCM	ATF4	22	39520558	0.331000	0.276000	0.140638	1.43313E-30	0.624291	9.99754E-08	22	39936506	39937006	1.127930	2.16413E-12	0.902858	7.89855E-05	1	PATZ1(1.00), ZNF740(0.92), 
CD4 TCM	ATF4	22	39520558	0.331000	0.276000	0.140638	1.43313E-30	0.624291	9.99754E-08	22	39937024	39937524	1.045724	1.46236E-24	1.056848	0.000548862	1	PURA(0.97), 
CD4 TCM	ATF4	22	39520558	0.331000	0.276000	0.140638	1.43313E-30	0.624291	9.99754E-08	22	39939946	39940446	0.788343	0.0318996	0.381577	0.025414	1	PATZ1(1.00), PLAGL1(0.96), ZBTB7A(0.92), ZFY(0.90), 
CD4 TCM	ATF4	22	39520558	0.331000	0.276000	0.140638	1.43313E-30	0.624291	9.99754E-08	22	39946377	39946877	0.641781	0.00249633	0.468321	0.016506	0.987001	
CD4 TCM	ATF4	22	39520558	0.331000	0.276000	0.140638	1.43313E-30	0.624291	9.99754E-08	22	39947018	39947518	1.417348	0.0075066	1.635554	0.00171606	0.994653	PLAG1(0.93), 
CD4 TCM	ATF4	22	39520558	0.331000	0.276000	0.140638	1.43313E-30	0.624291	9.99754E-08	22	39950297	39950797	0.959984	0.00131398	1.061544	0.00488009	0.999989	SP1(1.00), ZNF148(0.91), 
CD4 TCM	BCL2	18	63319380	0.376000	0.338000	0.137041	9.31845E-19	0.469978	0.0028314	18	62982562	62983062	1.534808	0.000421777	1.875876	0.00144673	0.964621	PURA(0.99), 
CD4 TCM	BHLHE40	3	4979436	0.156000	0.071000	0.178004	3.5233E-109	1.449965	1.96173E-05	3	4525819	4526319	0.671004	0.00183993	0.688661	0.00258758	0.997917	SP1(0.92), 
CD4 TCM	BHLHE40	3	4979436	0.156000	0.071000	0.178004	3.5233E-109	1.449965	1.96173E-05	3	4821340	4821840	-4.119671	0.00020841	-1.642218	0.0158288	0.996972	ZNF350(1.00), PURA(0.99), E2F6(0.91), 
CD4 TCM	BHLHE40	3	4979436	0.156000	0.071000	0.178004	3.5233E-109	1.449965	1.96173E-05	3	4821957	4822457	-1.328221	0.000423101	-1.584697	0.0413483	0.993064	
CD4 TCM	BRD2	6	32968593	0.305000	0.238000	0.166031	5.58542E-45	0.645531	5.90651E-07	6	32484007	32484507	1.065515	0.0328815	1.101545	0.00685136	0.99896	EGR1(0.97), PATZ1(0.90), SP3(0.85), 
CD4 TCM	BRD2	6	32968593	0.305000	0.238000	0.166031	5.58542E-45	0.645531	5.90651E-07	6	32978445	32978945	-0.736150	0.0390411	-0.718754	0.00724775	0.99391	ZNF148(0.89), 
CD4 TCM	BTN3A2	6	26365158	0.209000	0.328000	-0.155680	5.02164E-92	-0.527188	0.0313882	6	26534994	26535494	0.988469	1.50002E-05	0.690340	0.0272377	0.998477	
CD4 TCM	BTN3A2	6	26365158	0.209000	0.328000	-0.155680	5.02164E-92	-0.527188	0.0313882	6	26552688	26553188	-0.732283	2.17753E-10	-0.565430	0.000138588	0.998281	
CD4 TCM	CALR	19	12938608	0.593000	0.552000	0.207604	3.07843E-55	0.455120	0.000455958	19	12995770	12996270	-0.816262	0.0250507	-0.468619	0.0351092	0.97628	PLAG1(1.00), EGR1(0.96), PLAGL1(0.90), ZNF148(0.85), 
CD4 TCM	CAP1	1	40040064	0.255000	0.398000	-0.199411	2.1749E-124	-0.592505	0.00122083	1	39738565	39739065	-0.448574	0.00693087	-0.464978	0.00108233	0.989359	KLF6(0.99), SP2(0.98), SP1(0.94), ARNT2(0.93), SP4(0.88), KLF16(0.86), 
CD4 TCM	CAP1	1	40040064	0.255000	0.398000	-0.199411	2.1749E-124	-0.592505	0.00122083	1	40039202	40039702	-0.981066	1.76075E-05	-0.522871	0.0237485	0.979462	KLF6(0.97), SP1(0.94), E2F6(0.84), SP2(0.82), 
CD4 TCM	CAP1	1	40040064	0.255000	0.398000	-0.199411	2.1749E-124	-0.592505	0.00122083	1	40450853	40451353	1.947764	2.21719E-10	1.331864	0.0157231	0.986092	
CD4 TCM	CCNDBP1	15	43185402	0.198000	0.317000	-0.143330	1.4212E-92	-0.700893	1.69954E-07	15	42914963	42915463	-0.530831	0.00213661	-0.308863	0.00261335	0.999782	
CD4 TCM	CCNL1	3	157160147	0.709000	0.580000	0.416367	6.82172E-281	0.902749	2.30661E-05	3	157615510	157616010	-2.338701	4.9684E-06	-2.036093	0.00174281	0.993493	PLAGL1(0.99), E2F6(0.81), 
CD4 TCM	CD2	1	116754429	0.585000	0.707000	-0.186759	2.14725E-68	-0.396796	0.027797	1	116503537	116504037	1.129937	0.0180646	1.311960	0.000231857	0.994148	
CD4 TCM	CD2	1	116754429	0.585000	0.707000	-0.186759	2.14725E-68	-0.396796	0.027797	1	116515042	116515542	1.042416	1.18431E-05	0.967199	0.00557331	0.999981	SP1(1.00), ZNF148(0.98), 
CD4 TCM	CD2	1	116754429	0.585000	0.707000	-0.186759	2.14725E-68	-0.396796	0.027797	1	116538508	116539008	1.609925	0.00955875	1.285665	0.00211703	0.999933	
CD4 TCM	CD2	1	116754429	0.585000	0.707000	-0.186759	2.14725E-68	-0.396796	0.027797	1	116556548	116557048	0.912054	2.6178E-06	0.608702	0.00852264	1	SP1(0.98), 
CD4 TCM	CD2	1	116754429	0.585000	0.707000	-0.186759	2.14725E-68	-0.396796	0.027797	1	116737859	116738359	1.667064	3.86107E-19	1.527952	1.30397E-06	0.998705	PLAG1(0.99), ARNT2(0.94), 
CD4 TCM	CD2	1	116754429	0.585000	0.707000	-0.186759	2.14725E-68	-0.396796	0.027797	1	116738786	116739286	0.778693	6.00817E-09	0.872519	3.28959E-05	0.996756	ZNF350(0.96), 
CD4 TCM	CD2	1	116754429	0.585000	0.707000	-0.186759	2.14725E-68	-0.396796	0.027797	1	116764523	116765023	0.885108	2.07981E-07	1.366161	0.00684503	1	PLAG1(0.93), 
CD4 TCM	CD2	1	116754429	0.585000	0.707000	-0.186759	2.14725E-68	-0.396796	0.027797	1	116769615	116770115	0.406843	0.0451923	0.450233	0.00756321	0.980164	
CD4 TCM	CD2	1	116754429	0.585000	0.707000	-0.186759	2.14725E-68	-0.396796	0.027797	1	117106402	117106902	3.215633	0.000322906	2.179946	1.2503E-12	0.992738	HIC2(0.94), 
CD4 TCM	CD47	3	108091088	0.440000	0.541000	-0.115355	2.00361E-37	-0.330399	0.0308476	3	108123814	108124314	-1.792537	0.00248695	-1.443545	0.04723	0.964101	ZNF148(0.97), 
CD4 TCM	CD47	3	108091088	0.440000	0.541000	-0.115355	2.00361E-37	-0.330399	0.0308476	3	108132895	108133395	-0.605831	2.21225E-07	-0.552140	0.00288986	0.952685	
CD4 TCM	CD69	12	9760901	0.802000	0.670000	0.510108	0	1.239767	0.000470934	12	9671843	9672343	1.254795	0.0451017	1.307293	0.0155751	0.996462	
CD4 TCM	CD69	12	9760901	0.802000	0.670000	0.510108	0	1.239767	0.000470934	12	9685324	9685824	1.497053	0.00277985	2.036997	0.00982326	0.992551	
CD4 TCM	CD69	12	9760901	0.802000	0.670000	0.510108	0	1.239767	0.000470934	12	10200353	10200853	1.990498	1.46236E-24	2.185214	0.000467317	1	HIC2(0.98), 
CD4 TCM	CD69	12	9760901	0.802000	0.670000	0.510108	0	1.239767	0.000470934	12	10215396	10215896	1.965867	0.00509691	2.374326	0.000534474	0.999971	SP1(0.98), ZNF148(0.95), PURA(0.93), PATZ1(0.90), SP2(0.85), KLF16(0.85), 
CD4 TCM	CD69	12	9760901	0.802000	0.670000	0.510108	0	1.239767	0.000470934	12	10251620	10252120	0.921643	0.000194298	0.803041	0.000671551	0.986052	
CD4 TCM	CD74	5	150412936	0.620000	0.399000	0.267152	6.99133E-223	0.388240	0.00109662	5	149938943	149939443	0.696506	0.0104518	0.603710	0.00642226	0.98811	PLAG1(0.97), ZNF148(0.96), ZFY(0.84), 
CD4 TCM	CDKN2D	19	10568979	0.468000	0.390000	0.253762	3.44031E-81	0.643536	3.58624E-05	19	10073631	10074131	-1.107677	0.000251899	-0.739612	0.00310801	0.999972	
CD4 TCM	CDKN2D	19	10568979	0.468000	0.390000	0.253762	3.44031E-81	0.643536	3.58624E-05	19	10074170	10074670	-0.325512	0.0331061	-0.283161	0.0207025	0.959631	ZNF148(0.94), 
CD4 TCM	CDKN2D	19	10568979	0.468000	0.390000	0.253762	3.44031E-81	0.643536	3.58624E-05	19	10425847	10426347	1.284642	5.9951E-10	0.917752	0.000956232	0.99323	
CD4 TCM	CHMP1B	18	11851412	0.237000	0.151000	0.212890	2.53812E-82	1.118077	6.23248E-07	18	11979690	11980190	-0.765346	0.00161435	-0.327155	0.0101537	0.971586	ZNF219(0.90), PURA(0.81), 
CD4 TCM	CITED2	6	139374648	0.335000	0.257000	0.198559	7.23936E-59	0.618652	0.00138601	6	139190845	139191345	-0.634823	0.00142845	-0.689927	0.00618585	0.998886	SP6(0.85), 
CD4 TCM	CITED2	6	139374648	0.335000	0.257000	0.198559	7.23936E-59	0.618652	0.00138601	6	139325668	139326168	1.485795	2.18432E-05	1.286809	0.00140551	0.980509	ZNF740(0.99), ZNF148(0.94), 
CD4 TCM	CITED2	6	139374648	0.335000	0.257000	0.198559	7.23936E-59	0.618652	0.00138601	6	139374392	139374892	-0.614027	0.00161279	-0.417460	0.0255163	0.975043	PLAG1(0.81), 
CD4 TCM	CITED2	6	139374648	0.335000	0.257000	0.198559	7.23936E-59	0.618652	0.00138601	6	139375891	139376391	-0.500573	5.21638E-09	-0.486914	3.93744E-05	0.998322	KLF6(1.00), SP1(1.00), EGR1(1.00), ZNF148(0.96), ZNF350(0.96), PURA(0.95), ZNF740(0.93), PATZ1(0.90), SP2(0.82), 
CD4 TCM	CITED2	6	139374648	0.335000	0.257000	0.198559	7.23936E-59	0.618652	0.00138601	6	139395975	139396475	-0.719140	4.90754E-07	-0.547613	0.00087817	0.996628	
CD4 TCM	CITED2	6	139374648	0.335000	0.257000	0.198559	7.23936E-59	0.618652	0.00138601	6	139452409	139452909	-1.186738	0.000220471	-1.395467	0.0234258	0.96394	
CD4 TCM	CLEC2D	12	9669712	0.416000	0.543000	-0.167803	3.55241E-71	-0.372947	0.00992432	12	9671843	9672343	1.254795	0.0451017	1.307293	0.0155751	0.990766	
CD4 TCM	CLK1	2	200864658	0.384000	0.318000	0.164017	3.29397E-43	0.623308	0.000312716	2	200443297	200443797	-0.261369	0.023701	-0.254810	0.000449556	0.999332	PURA(1.00), 
CD4 TCM	CLK1	2	200864658	0.384000	0.318000	0.164017	3.29397E-43	0.623308	0.000312716	2	200450276	200450776	-0.456689	0.043642	-0.326514	0.0499417	0.982027	PLAGL1(1.00), 
