Gene_symbol	Gene_chr	Gene_TSS	Peak_chr	Peak_start	Peak_end	Looping_prob	TFs(binding prob)
	chr1	167094074	chr1	167681191	167682186	0.96004	TP73,(0.98001998001998),ESRRB,(0.932067932067932),ATOH1,(0.877122877122877),
	chr17	43778977	chr17	43774642	43775628	0.976024	ESRRB,(0.962037962037962),PPARD,(0.949050949050949),OSR1,(0.944055944055944),MEIS1,(0.922077922077922),NR5A2,(0.817182817182817),TFCP2L1,(0.816183816183816),
	chr10	119080817	chr10	119003201	119004235	0.972028	MYOD1,(1),MEIS2,(1),RARA,(0.999000999000999),TCF7L2,(0.999000999000999),TGIF2,(0.99000999000999),NR1I3,(0.987012987012987),NR1H2,(0.986013986013986),HLTF,(0.964035964035964),GLIS1,(0.838161838161838),

	chr10	119080817	chr10	119032273	119033273	0.971029	NR2F1,(0.998001998001998),ZNF219,(0.992007992007992),NR6A1,(0.991008991008991),ESRRA,(0.985014985014985),ESRRG,(0.972027972027972),NR4A1,(0.971028971028971),KLF8,(0.963036963036963),NR4A3,(0.954045954045954),ZKSCAN4,(0.909090909090909),NR1I3,(0.904095904095904),
	chr14	103334236	chr14	102442171	102443252	0.971029	MEIS1,(0.999000999000999),NR4A1,(0.999000999000999),RXRA,(0.999000999000999),NR2E1,(0.997002997002997),NR4A3,(0.995004995004995),PPARD,(0.993006993006993),NR2C1,(0.978021978021978),ESRRA,(0.976023976023976),RXRG,(0.973026973026973),ESRRG,(0.967032967032967),NR2F1,(0.964035964035964),NR4A2,(0.963036963036963),ZNF219,(0.961038961038961),HNF4G,(0.899100899100899),NR5A1,(0.878121878121878),
	chr1	19210385	chr1	19596518	19597487	0.965035	PPARG,(0.989010989010989),TEAD1,(0.958041958041958),NR5A2,(0.955044955044955),ESRRG,(0.947052947052947),ATOH1,(0.92007992007992),HNF4G,(0.882117882117882),NR4A3,(0.88011988011988),NR2C1,(0.86013986013986),NR2F1,(0.86013986013986),HES1,(0.853146853146853),RXRB,(0.849150849150849),PPARD,(0.833166833166833),ESRRA,(0.831168831168831),ZNF784,(0.806193806193806),
	chr11	95089845	chr11	95096049	95096986	0.97003	BACH1,(0.989010989010989),RARA,(0.988011988011988),NR4A2,(0.982017982017982),FOSB,(0.979020979020979),GCM1,(0.974025974025974),SMARCC1,(0.974025974025974),FOSL2,(0.971028971028971),MEIS1,(0.964035964035964),FOSL1,(0.949050949050949),TGIF2,(0.941058941058941),NR4A3,(0.939060939060939),NR2C1,(0.933066933066933),OSR1,(0.925074925074925),RORB,(0.879120879120879),JUNB,(0.878121878121878),
	chr1	8878686	chr1	8424528	8425385	0.967033	PPARA,(0.986013986013986),TCF7L2,(0.984015984015984),NR4A3,(0.978021978021978),NR4A2,(0.964035964035964),NR3C1,(0.908091908091908),MTF1,(0.884115884115884),
	chr6	46171010	chr6	45998080	45999092	0.962038	SNAI2,(0.997002997002997),ATOH1,(0.993006993006993),HNF4G,(0.986013986013986),NR2E1,(0.971028971028971),RORC,(0.948051948051948),RORA,(0.934065934065934),MITF,(0.877122877122877),MYOD1,(0.861138861138861),MEIS1,(0.812187812187812),
	chr6	46171010	chr6	46170554	46171522	0.997003	ZNF219,(0.975024975024975),
	chr6	46171010	chr6	46172055	46172942	0.981019	PPARG,(1),NPAS2,(0.999000999000999),SNAI2,(0.996003996003996),TCF7L2,(0.988011988011988),NR3C1,(0.987012987012987),RORA,(0.948051948051948),NR4A3,(0.938061938061938),NR1H2,(0.927072927072927),RORB,(0.906093906093906),PGR,(0.832167832167832),
	chr5	96814145	chr5	97061718	97062793	0.963037	CREB3L2,(1),NR1I2,(0.999000999000999),NR4A2,(0.999000999000999),NPAS2,(0.998001998001998),MXI1,(0.997002997002997),MYC,(0.997002997002997),TCF7L2,(0.997002997002997),NR2F1,(0.996003996003996),ESR2,(0.995004995004995),NR4A3,(0.99000999000999),NR1I3,(0.989010989010989),HNF4G,(0.963036963036963),RXRA,(0.956043956043956),TP73,(0.951048951048951),USF1,(0.942057942057942),RARB,(0.935064935064935),NR1H4,(0.901098901098901),NFE2,(0.889110889110889),
	chr12	11649673	chr12	10708533	10709465	0.979021	CREB3L1,(0.994005994005994),MYF5,(0.822177822177822),
	chr12	11649673	chr12	11797030	11797960	0.99001	KLF3,(0.998001998001998),RORC,(0.993006993006993),ESRRB,(0.98001998001998),NR1H3,(0.978021978021978),TCF7L2,(0.926073926073926),MEIS2,(0.914085914085914),NFE2,(0.894105894105894),NR1H2,(0.821178821178821),
	chr1	31373288	chr1	31361651	31362638	0.993007	NR2E1,(1),MYOD1,(0.994005994005994),TCF7L2,(0.991008991008991),RARB,(0.86013986013986),ATOH1,(0.85014985014985),
	chr8	57994522	chr8	58078649	58079585	0.978022	NR4A1,(0.999000999000999),SNAI2,(0.997002997002997),FOSB,(0.994005994005994),JUNB,(0.994005994005994),FOSL1,(0.993006993006993),NR4A3,(0.991008991008991),HES1,(0.989010989010989),BACH2,(0.989010989010989),JUN,(0.986013986013986),FOSL2,(0.981018981018981),MYF5,(0.978021978021978),NR2E1,(0.968031968031968),ESRRA,(0.967032967032967),JUND,(0.953046953046953),ESRRB,(0.946053946053946),ESRRG,(0.943056943056943),BACH1,(0.925074925074925),SMARCC1,(0.856143856143856),
	chr14	93918893	chr14	93927254	93928192	0.996004	RORC,(0.999000999000999),NFE2,(0.994005994005994),KLF3,(0.981018981018981),KLF8,(0.954045954045954),NR4A1,(0.873126873126873),NR4A3,(0.857142857142857),
	chr14	93918893	chr14	93959133	93960113	0.964036	FOSB,(1),SNAI2,(1),KLF3,(1),PPARG,(1),ESR2,(0.999000999000999),SMARCC1,(0.997002997002997),JDP2,(0.995004995004995),BACH1,(0.993006993006993),JUN,(0.989010989010989),ATF3,(0.985014985014985),FOSL1,(0.983016983016983),FOSL2,(0.978021978021978),NR4A3,(0.96003996003996),HES1,(0.954045954045954),ZIC3,(0.924075924075924),JUNB,(0.9000999000999),HLTF,(0.874125874125874),ZNF784,(0.842157842157842),FOS,(0.839160839160839),
	chr13	98142588	chr13	98171884	98172856	0.987013	KLF3,(0.972027972027972),MAF,(0.941058941058941),MEIS1,(0.91008991008991),ESR1,(0.902097902097902),
	chr13	98142588	chr13	98173405	98174247	0.982018	TFCP2,(1),PPARD,(1),ESRRB,(1),NR1I3,(1),RORC,(1),NR4A2,(1),NR2F1,(1),ESRRG,(1),RORB,(1),MITF,(0.999000999000999),TCF7L2,(0.999000999000999),TEAD1,(0.999000999000999),RORA,(0.998001998001998),NR4A3,(0.997002997002997),ESRRA,(0.997002997002997),NR5A2,(0.991008991008991),NR4A1,(0.99000999000999),ESR1,(0.966033966033966),NR2F2,(0.928071928071928),ESR2,(0.863136863136863),
	chr17	82735614	chr17	82888657	82889614	0.981019	NR4A2,(1),HEY1,(0.995004995004995),TCF7L2,(0.995004995004995),MXI1,(0.99000999000999),KLF3,(0.99000999000999),PPARG,(0.989010989010989),TFCP2,(0.987012987012987),TFEB,(0.982017982017982),NR4A3,(0.975024975024975),NR2F2,(0.973026973026973),MYC,(0.961038961038961),ZNF219,(0.95004995004995),NR4A1,(0.934065934065934),NR6A1,(0.887112887112887),ZNF691,(0.838161838161838),USF2,(0.836163836163836),
	chr1	93448117	chr1	93553836	93554701	0.987013	NR2F6,(0.996003996003996),NR3C1,(0.963036963036963),RXRA,(0.951048951048951),NR4A2,(0.931068931068931),PPARA,(0.87012987012987),
	chr11	11622005	chr11	11532354	11533284	0.998002	TGIF2,(0.994005994005994),NR4A2,(0.994005994005994),RARA,(0.991008991008991),NR4A3,(0.988011988011988),CREB3L1,(0.979020979020979),NR4A1,(0.968031968031968),
	chr12	6534516	chr12	6452229	6452893	0.98002	RARG,(0.993006993006993),TCF7L2,(0.993006993006993),NR4A3,(0.992007992007992),ESRRA,(0.986013986013986),NR4A1,(0.984015984015984),NR1H4,(0.981018981018981),ESRRG,(0.95004995004995),MYOD1,(0.942057942057942),HES1,(0.925074925074925),ESRRB,(0.896103896103896),NR2F2,(0.803196803196803),
	chr12	6534516	chr12	6541293	6542158	0.976024	HES1,(0.946053946053946),RORA,(0.928071928071928),NR4A3,(0.925074925074925),KLF3,(0.858141858141858),
	chr12	6534516	chr12	6869252	6870140	0.976024	NR4A3,(0.942057942057942),NR4A1,(0.926073926073926),RXRA,(0.919080919080919),NR4A2,(0.909090909090909),SMARCC1,(0.889110889110889),KLF3,(0.845154845154845),ESRRA,(0.839160839160839),ESR1,(0.821178821178821),
	chr9	35749228	chr9	35517298	35518309	0.963037	PPARG,(1),ESR2,(0.998001998001998),ESR1,(0.997002997002997),TCF7L2,(0.993006993006993),RHOXF1,(0.945054945054945),PPARD,(0.914085914085914),
	chr9	36276978	chr9	35517298	35518309	0.955045	PPARG,(1),ESR2,(0.998001998001998),ESR1,(0.997002997002997),TCF7L2,(0.993006993006993),RHOXF1,(0.945054945054945),PPARD,(0.914085914085914),
	chr3	37243270	chr3	37243909	37244778	0.986014	NR1I2,(0.944055944055944),ZKSCAN4,(0.928071928071928),NR4A2,(0.923076923076923),NR2F6,(0.909090909090909),NR2C1,(0.838161838161838),
	chr10	99430624	chr10	99392220	99393162	0.993007	KLF3,(0.982017982017982),MTF1,(0.981018981018981),TEAD1,(0.969030969030969),TCF7L2,(0.942057942057942),PPARD,(0.874125874125874),
	chr10	99430624	chr10	99433070	99434002	0.998002	NR3C1,(0.861138861138861),
	chr16	58734316	chr16	58704949	58705850	0.975025	KLF8,(0.993006993006993),TFEB,(0.992007992007992),MITF,(0.992007992007992),NR4A1,(0.981018981018981),RARA,(0.977022977022977),RORA,(0.976023976023976),ESRRG,(0.944055944055944),RORC,(0.94005994005994),NR5A1,(0.89010989010989),NR4A3,(0.87012987012987),NR2E1,(0.806193806193806),
	chr16	58734316	chr16	58732521	58733646	0.976024	ESRRG,(0.989010989010989),RORC,(0.985014985014985),ESRRA,(0.983016983016983),ESR1,(0.982017982017982),ESR2,(0.972027972027972),NR4A3,(0.971028971028971),SMARCC1,(0.97002997002997),BACH1,(0.968031968031968),KLF3,(0.961038961038961),NR3C1,(0.952047952047952),NR4A1,(0.942057942057942),JUNB,(0.937062937062937),FOSL2,(0.826173826173826),ZIC3,(0.816183816183816),
	chr16	58734316	chr16	58733782	58734645	0.994006	NR1I3,(0.917082917082917),TEAD1,(0.905094905094905),NR1I2,(0.843156843156843),TFCP2,(0.838161838161838),
	chr1	9129102	chr1	9127152	9128031	0.986014	RARA,(0.994005994005994),KLF3,(0.992007992007992),TEAD1,(0.984015984015984),NR4A2,(0.977022977022977),RORA,(0.97002997002997),ZKSCAN4,(0.967032967032967),ESRRB,(0.953046953046953),NR4A1,(0.948051948051948),ESRRG,(0.933066933066933),ZKSCAN3,(0.875124875124875),MAF,(0.868131868131868),
	chr2	26244747	chr2	26251545	26252484	0.983017	MEIS2,(0.999000999000999),NR4A2,(0.996003996003996),ESRRG,(0.987012987012987),MITF,(0.892107892107892),KLF8,(0.868131868131868),NR4A1,(0.827172827172827),
	chr3	42702798	chr3	42729461	42730412	0.964036	MITF,(0.997002997002997),ATOH1,(0.995004995004995),TCF7L2,(0.992007992007992),TFEB,(0.972027972027972),SNAI2,(0.93006993006993),
	chr1	26472439	chr1	25549145	25550151	0.987013	MEIS2,(0.994005994005994),BACH2,(0.961038961038961),JUN,(0.956043956043956),KLF3,(0.95004995004995),FOSL2,(0.943056943056943),GLI1,(0.932067932067932),ZIC3,(0.931068931068931),MTF1,(0.929070929070929),BACH1,(0.926073926073926),HLTF,(0.925074925074925),HES1,(0.923076923076923),TFCP2,(0.923076923076923),TP73,(0.921078921078921),SMARCC1,(0.907092907092907),JDP2,(0.906093906093906),FOSL1,(0.896103896103896),JUND,(0.879120879120879),ATOH1,(0.874125874125874),JUNB,(0.858141858141858),FOSB,(0.806193806193806),
	chr1	26472439	chr1	25744148	25744665	0.95005	NR2C1,(0.859140859140859),
	chr1	26472439	chr1	26061452	26062257	0.966034	NR1I3,(0.983016983016983),ESRRG,(0.978021978021978),NR2C1,(0.977022977022977),NR4A3,(0.97002997002997),NR2F1,(0.97002997002997),ESRRA,(0.962037962037962),PPARD,(0.942057942057942),ESRRB,(0.922077922077922),NR1I2,(0.92007992007992),NR5A2,(0.908091908091908),NR6A1,(0.843156843156843),NR2F2,(0.817182817182817),
	chr2	38603036	chr2	39356691	39357702	0.958042	NR2F1,(1),ZNF691,(0.998001998001998),RXRA,(0.988011988011988),MITF,(0.982017982017982),HLTF,(0.836163836163836),
	chr2	38603036	chr2	39512032	39513001	0.969031	JUND,(1),ZNF784,(1),PPARG,(1),NR4A2,(1),TCF7L2,(1),RXRB,(0.998001998001998),NR2F2,(0.997002997002997),NR4A1,(0.995004995004995),HNF4A,(0.994005994005994),PPARA,(0.991008991008991),MXI1,(0.988011988011988),NR4A3,(0.988011988011988),JUN,(0.985014985014985),RXRA,(0.984015984015984),PPARD,(0.978021978021978),RARB,(0.947052947052947),JUNB,(0.885114885114885),NR2F1,(0.884115884115884),ZNF219,(0.868131868131868),NR2F6,(0.855144855144855),NR2E1,(0.812187812187812),
	chr19	12775552	chr19	12788275	12789092	0.968032	PPARG,(0.999000999000999),RARA,(0.998001998001998),ESR2,(0.995004995004995),PPARA,(0.986013986013986),PPARD,(0.917082917082917),HES1,(0.916083916083916),TP73,(0.834165834165834),
	chr14	102139749	chr14	102442171	102443252	0.966034	MEIS1,(0.999000999000999),NR4A1,(0.999000999000999),RXRA,(0.999000999000999),NR2E1,(0.997002997002997),NR4A3,(0.995004995004995),PPARD,(0.993006993006993),NR2C1,(0.978021978021978),ESRRA,(0.976023976023976),RXRG,(0.973026973026973),ESRRG,(0.967032967032967),NR2F1,(0.964035964035964),NR4A2,(0.963036963036963),ZNF219,(0.961038961038961),HNF4G,(0.899100899100899),NR5A1,(0.878121878121878),
	chr6	31815542	chr6	31819369	31820087	0.971029	NR2C1,(0.986013986013986),NR1I2,(0.963036963036963),NR1H3,(0.93006993006993),RARB,(0.895104895104895),HNF4A,(0.892107892107892),NR2F2,(0.871128871128871),
	chr2	9474550	chr2	9474195	9475166	0.981019	PPARG,(0.984015984015984),NR5A2,(0.937062937062937),HIC1,(0.92007992007992),ESRRB,(0.902097902097902),NR1H2,(0.885114885114885),NR1H3,(0.882117882117882),NR4A3,(0.839160839160839),HES1,(0.833166833166833),
	chr6	82247744	chr6	81749202	81750225	0.972028	MEIS1,(0.997002997002997),TCF7L2,(0.997002997002997),NR4A3,(0.995004995004995),PPARD,(0.986013986013986),TGIF2,(0.978021978021978),HLTF,(0.978021978021978),NR3C1,(0.968031968031968),MEIS2,(0.931068931068931),PPARA,(0.877122877122877),
	chr2	9423569	chr2	9474195	9475166	0.998002	PPARG,(0.984015984015984),NR5A2,(0.937062937062937),HIC1,(0.92007992007992),ESRRB,(0.902097902097902),NR1H2,(0.885114885114885),NR1H3,(0.882117882117882),NR4A3,(0.839160839160839),HES1,(0.833166833166833),
	chr1	32013867	chr1	31361651	31362638	0.973027	NR2E1,(1),MYOD1,(0.994005994005994),TCF7L2,(0.991008991008991),RARB,(0.86013986013986),ATOH1,(0.85014985014985),
	chr20	16573448	chr20	16540973	16541899	0.965035	NR2F1,(0.983016983016983),NR1I3,(0.955044955044955),RORA,(0.905094905094905),PGR,(0.835164835164835),USF2,(0.804195804195804),
	chr22	20495795	chr22	20021741	20022507	0.974026	ESRRB,(0.997002997002997),ESR1,(0.995004995004995),ESR2,(0.994005994005994),RXRA,(0.991008991008991),RXRG,(0.988011988011988),NR4A3,(0.974025974025974),NR5A1,(0.967032967032967),MITF,(0.956043956043956),ESRRA,(0.952047952047952),NR1H3,(0.937062937062937),ESRRG,(0.924075924075924),NR2F6,(0.915084915084915),NR2F2,(0.87012987012987),
	chr17	27456447	chr17	27593258	27594384	0.993007	TGIF2,(1),GLI1,(0.999000999000999),MYOD1,(0.996003996003996),NR2E1,(0.996003996003996),NR1I3,(0.991008991008991),NR1I2,(0.978021978021978),TEAD1,(0.977022977022977),RORA,(0.955044955044955),ESRRG,(0.953046953046953),MYF5,(0.933066933066933),PPARD,(0.928071928071928),HES1,(0.918081918081918),RORB,(0.914085914085914),ESRRA,(0.9000999000999),ESRRB,(0.874125874125874),NR2F2,(0.862137862137862),MITF,(0.86013986013986),OSR1,(0.839160839160839),
	chr7	55365447	chr7	55439890	55440897	0.961039	RORA,(1),PPARG,(1),RORC,(1),ESRRA,(1),ESRRB,(0.998001998001998),ESR2,(0.998001998001998),ESRRG,(0.998001998001998),ESR1,(0.995004995004995),NR3C1,(0.993006993006993),SMARCC1,(0.991008991008991),PPARA,(0.991008991008991),NR4A1,(0.981018981018981),RORB,(0.928071928071928),TP73,(0.898101898101898),
	chr22	33922888	chr22	33883676	33884803	0.966034	SNAI2,(1),RORC,(1),JDP2,(0.999000999000999),BACH2,(0.998001998001998),FOSB,(0.997002997002997),JUNB,(0.997002997002997),FOSL1,(0.997002997002997),JUN,(0.997002997002997),MEIS1,(0.997002997002997),RORA,(0.997002997002997),FOSL2,(0.995004995004995),SMARCC1,(0.994005994005994),ESRRA,(0.993006993006993),BACH1,(0.99000999000999),HNF4A,(0.987012987012987),JUND,(0.896103896103896),MYOD1,(0.887112887112887),ATOH1,(0.863136863136863),
	chr3	45594750	chr3	45604762	45605720	0.978022	JDP2,(0.993006993006993),HLTF,(0.993006993006993),RARA,(0.991008991008991),NR2F2,(0.99000999000999),KLF8,(0.985014985014985),NR3C1,(0.978021978021978),JUN,(0.954045954045954),TP73,(0.954045954045954),NR2E1,(0.941058941058941),HNF4G,(0.937062937062937),HNF4A,(0.934065934065934),
	chr3	194708420	chr3	194852798	194853771	0.999001	ESRRG,(0.992007992007992),MYOD1,(0.978021978021978),ESRRB,(0.944055944055944),ESRRA,(0.891108891108891),ESR1,(0.834165834165834),HIC1,(0.829170829170829),
	chr6	69797010	chr6	69734772	69735687	0.965035	ZKSCAN4,(0.954045954045954),ZKSCAN3,(0.917082917082917),TFCP2,(0.838161838161838),
	chr5	96936079	chr5	97061718	97062793	0.974026	CREB3L2,(1),NR1I2,(0.999000999000999),NR4A2,(0.999000999000999),NPAS2,(0.998001998001998),MXI1,(0.997002997002997),MYC,(0.997002997002997),TCF7L2,(0.997002997002997),NR2F1,(0.996003996003996),ESR2,(0.995004995004995),NR4A3,(0.99000999000999),NR1I3,(0.989010989010989),HNF4G,(0.963036963036963),RXRA,(0.956043956043956),TP73,(0.951048951048951),USF1,(0.942057942057942),RARB,(0.935064935064935),NR1H4,(0.901098901098901),NFE2,(0.889110889110889),
	chr2	11677543	chr2	11752964	11754888	0.979021	NR1I2,(0.994005994005994),NR4A2,(0.982017982017982),SMARCC1,(0.98001998001998),ZIC1,(0.975024975024975),NFE2,(0.973026973026973),ZIC3,(0.924075924075924),JUND,(0.908091908091908),JUN,(0.89010989010989),MEIS1,(0.877122877122877),BACH1,(0.858141858141858),OSR1,(0.816183816183816),
	chr2	11677543	chr2	11807097	11808095	0.996004	RARA,(0.974025974025974),NR4A3,(0.957042957042957),MEIS2,(0.948051948051948),NR4A1,(0.946053946053946),NR4A2,(0.937062937062937),NFE2,(0.926073926073926),
	chr2	11677543	chr2	11820969	11822061	0.993007	NR1I2,(0.903096903096903),ZNF219,(0.821178821178821),
	chr2	11677543	chr2	11829673	11830652	0.973027	JUN,(1),ATOH1,(1),FOSL1,(0.999000999000999),RARA,(0.999000999000999),SMARCC1,(0.997002997002997),JDP2,(0.996003996003996),JUNB,(0.992007992007992),BACH1,(0.988011988011988),FOSL2,(0.979020979020979),TP73,(0.969030969030969),
	chr1	113073102	chr1	112982764	112983731	0.973027	NR4A3,(0.974025974025974),TEAD1,(0.966033966033966),ESRRA,(0.948051948051948),ESRRG,(0.946053946053946),ESRRB,(0.938061938061938),NR5A1,(0.934065934065934),NR4A1,(0.824175824175824),
	chr1	113073102	chr1	112992505	112993467	0.969031	TCF7L2,(0.985014985014985),ZKSCAN3,(0.979020979020979),JUN,(0.97002997002997),ZKSCAN4,(0.918081918081918),RORA,(0.908091908091908),NR2E1,(0.886113886113886),
	chr1	113073102	chr1	112995622	112996555	0.968032	RARA,(0.993006993006993),BACH2,(0.992007992007992),NR4A3,(0.992007992007992),BACH1,(0.991008991008991),JUN,(0.985014985014985),FOSL1,(0.883116883116883),HIC1,(0.873126873126873),SMARCC1,(0.865134865134865),
	chr1	113073102	chr1	113000316	113001259	0.972028	TP73,(1),SNAI2,(0.999000999000999),MITF,(0.99000999000999),ZNF219,(0.84015984015984),
	chr2	43995989	chr2	43376235	43377181	0.95005	OSR1,(0.999000999000999),PPARG,(0.999000999000999),NR2F6,(0.999000999000999),RXRB,(0.999000999000999),ZIC3,(0.997002997002997),JUN,(0.992007992007992),NR4A3,(0.99000999000999),HLTF,(0.989010989010989),RORA,(0.988011988011988),FOSB,(0.847152847152847),
	chr4	1289890	chr4	1172943	1173886	0.96004	ZKSCAN4,(0.986013986013986),KLF8,(0.985014985014985),ESR1,(0.984015984015984),RORC,(0.979020979020979),NR4A3,(0.974025974025974),NR2C1,(0.973026973026973),HNF4A,(0.94005994005994),ESR2,(0.914085914085914),NR2E1,(0.912087912087912),
	chr1	25617467	chr1	25549145	25550151	0.984016	MEIS2,(0.994005994005994),BACH2,(0.961038961038961),JUN,(0.956043956043956),KLF3,(0.95004995004995),FOSL2,(0.943056943056943),GLI1,(0.932067932067932),ZIC3,(0.931068931068931),MTF1,(0.929070929070929),BACH1,(0.926073926073926),HLTF,(0.925074925074925),HES1,(0.923076923076923),TFCP2,(0.923076923076923),TP73,(0.921078921078921),SMARCC1,(0.907092907092907),JDP2,(0.906093906093906),FOSL1,(0.896103896103896),JUND,(0.879120879120879),ATOH1,(0.874125874125874),JUNB,(0.858141858141858),FOSB,(0.806193806193806),
	chr1	25617467	chr1	25744148	25744665	0.994006	NR2C1,(0.859140859140859),
	chr1	25617467	chr1	25786522	25787522	0.981019	JDP2,(0.992007992007992),MITF,(0.99000999000999),BACH1,(0.968031968031968),FOSL2,(0.947052947052947),JUN,(0.947052947052947),FOSB,(0.937062937062937),SMARCC1,(0.928071928071928),FOS,(0.922077922077922),BACH2,(0.859140859140859),USF2,(0.837162837162837),GLIS1,(0.817182817182817),JUNB,(0.809190809190809),
	chr1	25617467	chr1	26061452	26062257	0.985015	NR1I3,(0.983016983016983),ESRRG,(0.978021978021978),NR2C1,(0.977022977022977),NR4A3,(0.97002997002997),NR2F1,(0.97002997002997),ESRRA,(0.962037962037962),PPARD,(0.942057942057942),ESRRB,(0.922077922077922),NR1I2,(0.92007992007992),NR5A2,(0.908091908091908),NR6A1,(0.843156843156843),NR2F2,(0.817182817182817),
	chr1	25617467	chr1	26224812	26225856	0.995005	PPARG,(0.976023976023976),ZKSCAN4,(0.937062937062937),ESRRB,(0.885114885114885),RARG,(0.854145854145854),TCF7L2,(0.853146853146853),
	chr17	21284710	chr17	21021116	21022179	0.989011	ESRRB,(0.98001998001998),USF2,(0.966033966033966),NR2C1,(0.959040959040959),NR6A1,(0.816183816183816),
	chr17	21284710	chr17	21041661	21042464	0.997003	ESRRA,(0.927072927072927),NR1I3,(0.92007992007992),
	chr17	21284710	chr17	21165768	21166756	0.989011	RARA,(0.971028971028971),BACH1,(0.958041958041958),TEAD1,(0.955044955044955),RORA,(0.954045954045954),PPARD,(0.949050949050949),ESR2,(0.939060939060939),MEIS1,(0.935064935064935),NR1I3,(0.929070929070929),MAF,(0.92007992007992),RORB,(0.917082917082917),PPARA,(0.899100899100899),NR1I2,(0.887112887112887),MTF1,(0.862137862137862),
	chr2	127388465	chr2	127052049	127052908	0.98002	NFE2,(0.985014985014985),ATOH1,(0.974025974025974),ESR2,(0.962037962037962),ESR1,(0.859140859140859),
	chr2	127388465	chr2	127165124	127166104	0.971029	RARA,(1),RORC,(1),SNAI2,(0.999000999000999),MTF1,(0.999000999000999),ZKSCAN4,(0.998001998001998),TFCP2,(0.998001998001998),MYOD1,(0.997002997002997),ZKSCAN3,(0.997002997002997),MYF5,(0.971028971028971),ATF3,(0.945054945054945),TFCP2L1,(0.898101898101898),
	chr2	127388465	chr2	127170227	127171229	0.979021	CREB3L2,(1),ZNF784,(1),NR4A3,(1),NR4A1,(0.999000999000999),NR4A2,(0.999000999000999),RXRA,(0.999000999000999),NR2F1,(0.998001998001998),HNF4A,(0.995004995004995),NR2C1,(0.989010989010989),HNF4G,(0.987012987012987),NR6A1,(0.979020979020979),RXRB,(0.95004995004995),NR2F6,(0.932067932067932),RARB,(0.924075924075924),NR2F2,(0.92007992007992),
	chr2	39437285	chr2	39356691	39357702	0.976024	NR2F1,(1),ZNF691,(0.998001998001998),RXRA,(0.988011988011988),MITF,(0.982017982017982),HLTF,(0.836163836163836),
	chr2	39437285	chr2	39512032	39513001	0.972028	JUND,(1),ZNF784,(1),PPARG,(1),NR4A2,(1),TCF7L2,(1),RXRB,(0.998001998001998),NR2F2,(0.997002997002997),NR4A1,(0.995004995004995),HNF4A,(0.994005994005994),PPARA,(0.991008991008991),MXI1,(0.988011988011988),NR4A3,(0.988011988011988),JUN,(0.985014985014985),RXRA,(0.984015984015984),PPARD,(0.978021978021978),RARB,(0.947052947052947),JUNB,(0.885114885114885),NR2F1,(0.884115884115884),ZNF219,(0.868131868131868),NR2F6,(0.855144855144855),NR2E1,(0.812187812187812),
	chr2	101697702	chr2	100818646	100819588	0.967033	MYC,(0.977022977022977),RORC,(0.976023976023976),RORA,(0.95004995004995),MXI1,(0.949050949050949),HEY1,(0.914085914085914),NR4A3,(0.901098901098901),HES1,(0.9000999000999),ATOH1,(0.815184815184815),USF2,(0.811188811188811),
	chr2	101697702	chr2	101108131	101109073	0.967033	ESR1,(0.878121878121878),MYF5,(0.876123876123876),NR1H4,(0.863136863136863),ESRRB,(0.851148851148851),ESR2,(0.832167832167832),HIC1,(0.826173826173826),
	chr17	45895513	chr17	45906664	45907436	1	NR4A1,(0.999000999000999),NR1I3,(0.994005994005994),KLF8,(0.858141858141858),
	chr3	183428269	chr3	183392089	183393067	0.967033	TFEB,(0.999000999000999),KLF3,(0.999000999000999),HNF4G,(0.999000999000999),ZKSCAN4,(0.998001998001998),HNF4A,(0.998001998001998),HES1,(0.997002997002997),NR1H3,(0.993006993006993),ATOH1,(0.982017982017982),ZNF784,(0.968031968031968),NR5A2,(0.933066933066933),NR2F6,(0.851148851148851),ZKSCAN3,(0.81018981018981),SNAI2,(0.805194805194805),
	chr16	641827	chr16	645595	646504	0.955045	PPARD,(0.942057942057942),ATOH1,(0.94005994005994),SNAI2,(0.903096903096903),MITF,(0.894105894105894),
	chr2	63588962	chr2	63710408	63711341	0.985015	HES1,(0.959040959040959),BACH1,(0.953046953046953),JDP2,(0.947052947052947),PPARD,(0.89010989010989),
	chr2	63588962	chr2	63742995	63743924	0.98002	PPARD,(0.888111888111888),MYC,(0.831168831168831),MYF5,(0.811188811188811),
	chr2	63588962	chr2	63841402	63842089	0.986014	RARA,(0.97002997002997),ESR2,(0.911088911088911),
	chr1	11980180	chr1	11989260	11990066	0.969031	NPAS2,(0.997002997002997),MYC,(0.985014985014985),MYCN,(0.981018981018981),TCF7L2,(0.981018981018981),ATF3,(0.952047952047952),MXI1,(0.947052947052947),
	chr1	165631233	chr1	165240181	165241052	0.97003	NR1I3,(0.987012987012987),NR1H4,(0.985014985014985),NR1I2,(0.981018981018981),ATOH1,(0.978021978021978),HNF4G,(0.977022977022977),USF2,(0.963036963036963),SNAI2,(0.916083916083916),ZNF784,(0.874125874125874),RORC,(0.84015984015984),
